,Sector,2015 PRICE VAR [%],Class,Revenue,Revenue Growth,Gross Margin,Operating Income,Net Income,Net Profit Margin,returnOnEquity,returnOnAssets,PE ratio,Price to Sales Ratio,EV to Sales,Debt to Equity,Current ratio,Operating Cash Flow,Free Cash Flow,EPS Diluted Growth,Net Income Growth
PG,Consumer Defensive,-9.323275997445537,0,74401000000.0,-0.0713,0.4754,13910000000.0,11643000000.0,0.1565,0.1664,0.5765,18.7566,2.8583,3.1907,0.5061,0.937,13958000000.0,10110000000.0,0.0389,0.0293
VIPS,Consumer Defensive,-25.512192888957696,0,3734148046.4966,1.1737,0.2487,134595899.2573,135822731.6758,0.0364,0.3294,0.0403,81.5526,0.0443,,1.5093,0.2102,526745560.2196,263041007.4265,1.4646,1.5649
KR,Consumer Defensive,33.11829671550496,1,98375000000.0,0.0182,0.2057,2725000000.0,1519000000.0,0.0154,0.2821,0.1011,12.034,0.1858,0.2967,2.1007,0.825,3573000000.0,1243000000.0,0.0469,0.0147
RAD,Consumer Defensive,2.7522914680574364,1,25526413000.0,0.0053,0.2869,737252000.0,249414000.0,0.0098,-0.118,0.0668,28.6087,0.2491,0.4689,-2.7237,1.709,702046000.0,368176000.0,0.9167,1.0043
GIS,Consumer Defensive,12.897715165910553,1,17909600000.0,0.0076,0.3557,2957400000.0,1824400000.0,0.1019,0.2792,0.6265,18.7034,1.861,2.3032,1.3445,0.81,2541000000.0,1884100000.0,0.0143,-0.0166
PM,Consumer Defensive,13.980936777937483,1,80106000000.0,0.001,0.2413,11702000000.0,7493000000.0,0.0935,-0.5933,1.163,17.1113,1.5798,1.9265,-2.3323,1.025,7739000000.0,6586000000.0,-0.0951,-0.1263
KO,Consumer Defensive,5.339412837835392,1,45998000000.0,-0.0183,0.6111,9708000000.0,7098000000.0,0.1543,0.2341,0.4656,26.0617,4.0204,4.4567,1.3768,1.019,10615000000.0,8432000000.0,-0.1579,-0.1731
WMT,Consumer Defensive,-26.65370178517993,0,476294000000.0,0.0163,0.2482,26872000000.0,16022000000.0,0.0336,0.2101,0.146,15.2408,0.5073,0.611,0.7428,0.882,23257000000.0,10869000000.0,-0.0279,-0.0575
MDLZ,Consumer Defensive,23.809817736521,1,34244000000.0,-0.0299,0.3679,3242000000.0,2184000000.0,0.0638,0.0787,0.2885,28.1628,1.7823,2.221,0.6002,0.8390000000000001,3562000000.0,1927000000.0,-0.4155,-0.4421
MO,Consumer Defensive,23.865489302331603,1,24522000000.0,0.0023,0.4143,7620000000.0,5070000000.0,0.2068,1.6821,4.2677,19.2461,3.9712,4.4349,4.8749,0.8959999999999999,4663000000.0,4500000000.0,0.1327,0.118
